,,,sa - 1 - mesh,,sa - 1 - 1hop,, sa - 10 - mesh,,sa - 10 - 1hop,, sa - 100 - mesh,,sa - 100 - 1hop,, sa - 1000 - mesh,,sa - 1000 - 1hop,, 
Bench,N Edges,Visited Edges,Dist Total_x,Edges > 0_x,Num Annotations_x,th_x,Iters_x,Dist Total_y,Edges > 0_y,Num Annotations_y,th_y,Iters_y,Dist Total_x,Edges > 0_x,Num Annotations_x,th_x,Iters_x,Dist Total_y,Edges > 0_y,Num Annotations_y,th_y,Iters_y,Dist Total_x,Edges > 0_x,Num Annotations_x,th_x,Iters_x,Dist Total_y,Edges > 0_y,Num Annotations_y,th_y,Iters_y,Dist Total_x,Edges > 0_x,Num Annotations_x,th_x,Iters_x,Dist Total_y,Edges > 0_y,Num Annotations_y,th_y,Iters_y
t,3,-1,0,0,0,66.66666666666666,24168,0,0,0,66.66666666666666,24168,0,0,0,66.66666666666666,24168,0,0,0,66.66666666666666,24168,0,0,0,66.66666666666666,24168,0,0,0,66.66666666666666,24168,0,0,0,66.66666666666666,24168,0,0,0,66.66666666666666,24168
dag24-5x5,28,-1,2,1,0,74.95498199279712,193500,1,1,0,88.83357041251779,193500,0,0,0,99.93998799759952,193500,0,0,0,99.93998799759952,193500,0,0,0,99.93998799759952,193500,0,0,0,99.93998799759952,193500,0,0,0,99.93998799759952,193500,0,0,0,99.93998799759952,193500
dag39-7x7-MC=1,45,-1,3,3,0,99.87997599519905,386904,0,0,0,66.6266506602641,386904,3,3,0,99.87997599519905,386904,0,0,0,66.6266506602641,386904,1,1,0,99.8999799959992,386904,0,0,0,66.6266506602641,386904,1,1,0,99.8999799959992,386904,0,0,0,66.6266506602641,386904
dag30-6x6-MC=1,33,-1,4,4,0,99.91998399679936,282240,0,0,0,66.63998932906496,282240,1,1,0,99.91998399679936,282240,0,0,0,66.63998932906496,282240,1,1,0,99.91998399679936,282240,0,0,0,66.63998932906496,282240,1,1,0,99.91998399679936,282240,0,0,0,66.63998932906496,282240
horner_bs,16,-1,0,0,0,99.94001199760048,193500,0,0,0,99.94001199760048,193500,0,0,0,99.94001199760048,193500,0,0,0,99.94001199760048,193500,0,0,0,99.94001199760048,193500,0,0,0,99.94001199760048,193500,0,0,0,99.94001199760048,193500,0,0,0,99.94001199760048,193500
dag43-7x7,49,-1,4,4,0,66.63998932906496,386904,1,1,0,79.95518924541891,386904,4,4,0,66.63998932906496,386904,0,0,0,99.91998399679936,386904,0,0,0,99.91998399679936,386904,0,0,0,99.91998399679936,386904,0,0,0,99.91998399679936,386904,0,0,0,99.91998399679936,386904
dag34-6x6-MC=1,39,-1,7,5,0,66.63554518172724,282240,4,4,0,66.63554518172724,282240,4,3,0,49.99249662348056,282240,0,0,0,66.6444340692323,282240,2,2,0,49.98749312121667,282240,0,0,0,66.6444340692323,282240,1,1,0,49.98999399639784,282240,0,0,0,66.6444340692323,282240
BBT-h4,30,-1,2,2,0,99.95999199839967,282240,0,0,0,99.97999599919984,282240,2,2,0,99.95999199839967,282240,0,0,0,99.97999599919984,282240,2,2,0,99.95999199839967,282240,0,0,0,99.97999599919984,282240,2,2,0,99.95999199839967,282240,0,0,0,99.97999599919984,282240
dag22-5x5-MC=1,25,-1,3,3,0,49.984992496248125,193500,1,1,0,49.984992496248125,193500,1,1,0,49.984992496248125,193500,0,0,0,66.6533279978658,193500,1,1,0,49.984992496248125,193500,0,0,0,66.6533279978658,193500,1,1,0,49.984992496248125,193500,0,0,0,66.6533279978658,193500
jpeg_fdct_islow,254,-1,161,77,0,49.895178197064986,1814400,42,30,0,66.57344519909442,1814400,161,77,0,49.895178197064986,1814400,42,30,0,66.57344519909442,1814400,130,78,0,49.91012582384661,1814400,37,26,0,66.57787840447493,1814400,123,67,0,49.92508240934971,1814400,32,25,0,59.91728106455674,1814400
